"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Carsia sororiata","Cerapteryx graminis","Coenocalpe lapidata","Diarsia mendica","Dysstroma citratum","Dysstroma truncatum","Ecliptopera silaceata","Elophos vittaria","Entephria caesiata","Epirrita autumnata","Eulithis populata","Eulithis prunata","Eulithis testata","Eupithecia intricata","Eupithecia pusillata","Eupithecia satyrata","Eupithecia vulgata","Hepialus fusconebulosus","Hillia iris","Hydriomena furcata","Hydriomena ruberata","Lithomoia solidaginis","Macaria brunneata","Macaria loricaria","Operophtera brumata","Orthosia gothica","Parastichtis suspecta","Perizoma albulatum","Poecilocampa populi","Scopula ternata","Selenia dentaria","Syngrapha interrogationis","Thera juniperata","Thera obeliscata","Trichiura crataegi","Xanthorhoe decoloraria","Xestia alpicola","Xestia speciosa"
"moth_dec_2_NB_SampleID_20",504314.000006515,7562582.00000538,1997,509.392463684082,-1.10833338896433,234,-0.156666666666667,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"moth_dec_2_NB_SampleID_21",363106.00000618,7590699.00000381,1994,423.462174415588,-1.99166677892209,227,0.575833333333333,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
"moth_dec_2_NB_SampleID_22",363106.000009787,7590699.00000637,1995,650.65402173996,-2.00833334525426,224,-0.0808333333333333,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
"moth_dec_2_NB_SampleID_23",363106.000005753,7590699.00000187,1996,581.964865684509,-2.05833342857659,227,-0.214166666666667,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1
"moth_dec_2_NB_SampleID_24",363106.000009175,7590699.00000186,1997,442.536310195923,-1.31666672229766,238,-0.156666666666667,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"moth_dec_2_NB_SampleID_25",545863.000004329,7631277.00000371,1993,642.295463085175,-0.741666595141093,225,0.179166666666667,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0
"moth_dec_2_NB_SampleID_26",545863.00000492,7631277.00000648,1994,539.460905075073,-0.291666746139527,218,0.575833333333333,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
"moth_dec_2_NB_SampleID_27",545863.00000148,7631277.00000619,1995,710.131175994873,-0.924999892711642,220,-0.0808333333333333,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0
"moth_dec_2_NB_SampleID_28",545863.000002532,7631277.00000637,1996,564.206238746643,-0.64999999602636,225,-0.214166666666667,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
"moth_dec_2_NB_SampleID_29",545863.000005194,7631277.00000947,1997,432.925548553467,-0.624999905625981,226,-0.156666666666667,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"moth_dec_2_NB_SampleID_30",253806.000002555,7671141.00000058,1993,866.855858802796,-2.09999992450078,247,0.179166666666667,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
"moth_dec_2_NB_SampleID_31",253806.000008459,7671141.0000091,1994,465.301969528198,-2.49166668454807,230,0.575833333333333,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0
"moth_dec_2_NB_SampleID_32",253806.0000045,7671141.00000889,1995,763.548025131226,-2.67499996411303,226,-0.0808333333333333,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
"moth_dec_2_NB_SampleID_33",253806.000003453,7671141.00000898,1996,588.877850532532,-2.52499997864167,230,-0.214166666666667,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0
"moth_dec_2_NB_SampleID_34",253806.000003984,7671141.00000331,1997,783.937046051026,-1.96666659911474,244,-0.156666666666667,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
