"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Agrostis capillaris","Betula pubescens","Calamagrostis arundinacea","Calamagrostis epigejos","Calluna vulgaris","Carex globularis","Deschampsia flexuosa","Dryopteris carthusiana","Empetrum nigrum","Epilobium angustifolium","Equisetum sylvaticum","Gymnocarpium dryopteris","Juniperus communis","Ledum palustre","Linnaea borealis","Luzula pilosa","Lycopodium annotinum","Maianthemum bifolium","Melampyrum pratense","Melampyrum sylvaticum","Orthilia secunda","Picea abies","Pinus sylvestris","Populus tremula","Rubus saxatilis","Salix phylicifolia","Solidago virgaurea","Sorbus aucuparia","Trientalis europaea","Vaccinium myrtillus","Vaccinium uliginosum","Vaccinium vitis-idaea"
"plant_dec_3_MB_SampleID_108",452850,7142710,2006,544.655170440674,3.10833324988683,172,-0.2075,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1
"plant_dec_3_MB_SampleID_109",564800,7142710,2006,742.018674850464,2.34166671832402,187,-0.2075,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1
"plant_dec_3_MB_SampleID_110",612780,7142710,2006,795.313484191895,2.05833335717518,200,-0.2075,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"plant_dec_3_MB_SampleID_111",628780,7142710,2006,753.680021286011,1.92500016093253,201,-0.2075,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
"plant_dec_3_MB_SampleID_112",644770,7142710,2006,765.683378219604,1.75833332538606,189,-0.2075,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1
"plant_dec_3_MB_SampleID_113",372880,7158700,2006,374.015762627125,4.2666666234533,140,-0.2075,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
"plant_dec_3_MB_SampleID_114",548810,7158700,2006,704.509483337402,2.34999996423721,182,-0.2075,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"plant_dec_3_MB_SampleID_115",564800,7158700,2006,702.22402381897,2.2000000178814,189,-0.2075,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1
"plant_dec_3_MB_SampleID_116",452850,7159500,2006,555.846309185028,3.01666662593683,174,-0.2075,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
"plant_dec_3_MB_SampleID_117",516820,7159900,2006,660.221923828125,2.49166669448218,182,-0.2075,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
