"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Achillea millefolium","Aegopodium podagraria","Agrostis capillaris","Alnus incana","Anemone nemorosa","Angelica sylvestris","Anthriscus sylvestris","Athyrium filix-femina","Betula pendula","Betula pubescens","Calamagrostis arundinacea","Calamagrostis canescens","Calamagrostis epigejos","Calamagrostis purpurea","Calluna vulgaris","Carex brunnescens","Carex canescens","Carex digitata","Carex globularis","Carex nigra","Carex ovalis","Carex pallescens","Cirsium helenioides","Convallaria majalis","Deschampsia cespitosa","Deschampsia flexuosa","Dryopteris carthusiana","Empetrum nigrum","Epilobium angustifolium","Equisetum arvense","Equisetum palustre","Equisetum sylvaticum","Festuca ovina","Filipendula ulmaria","Fragaria vesca","Galeopsis bifida","Galium boreale","Galium palustre","Galium uliginosum","Geranium sylvaticum","Geum rivale","Goodyera repens","Gymnocarpium dryopteris","Hepatica nobilis","Hypericum maculatum","Juncus filiformis","Juniperus communis","Lathyrus pratensis","Lathyrus vernus","Ledum palustre","Linnaea borealis","Luzula pilosa","Lycopodium annotinum","Lysimachia vulgaris","Maianthemum bifolium","Melampyrum pratense","Melampyrum sylvaticum","Melica nutans","Milium effusum","Orthilia secunda","Oxalis acetosella","Paris quadrifolia","Picea abies","Pinus sylvestris","Polypodium vulgare","Populus tremula","Potentilla erecta","Prunus padus","Pteridium aquilinum","Pyrola minor","Pyrola rotundifolia","Ranunculus acris","Ranunculus auricomus","Ranunculus repens","Rhamnus frangula","Ribes spicatum","Rubus arcticus","Rubus chamaemorus","Rubus idaeus","Rubus saxatilis","Rumex acetosa","Salix caprea","Salix phylicifolia","Solidago virgaurea","Sorbus aucuparia","Stellaria graminea","Stellaria longifolia","Thelypteris phegoteris","Trientalis europaea","Urtica dioica","Vaccinium myrtillus","Vaccinium uliginosum","Vaccinium vitis-idaea","Veronica chamaedrys","Veronica officinalis","Vicia sepium","Viola canina","Viola palustris","Viola riviniana"
"plant_dec_2_SB_SampleID_11",292910,6663700,1995,698.757654190064,5.89999989854793,121,-0.0808333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"plant_dec_2_SB_SampleID_12",324900,6663700,1995,725.920099258423,5.67499998956918,151,-0.0808333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"plant_dec_2_SB_SampleID_13",116980,6664100,1995,469.89087677002,6.87500000496705,39,-0.0808333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"plant_dec_2_SB_SampleID_14",308910,6664100,1995,718.179384231567,5.73333345229426,153,-0.0808333333333333,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"plant_dec_2_SB_SampleID_15",356890,6664100,1995,673.293239593506,5.79166665052374,138,-0.0808333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"plant_dec_2_SB_SampleID_16",116980,6678890,1995,577.04144859314,6.42499994238218,95,-0.0808333333333333,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
"plant_dec_2_SB_SampleID_17",196950,6678890,1995,658.129327774048,6.46666673322518,82,-0.0808333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"plant_dec_2_SB_SampleID_18",276920,6678900,1995,780.435047149658,5.67499987532694,153,-0.0808333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"plant_dec_2_SB_SampleID_19",292910,6678900,1995,788.840742111206,5.62500009934108,154,-0.0808333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"plant_dec_2_SB_SampleID_20",340890,6678900,1995,886.696311950684,5.5416665834685,152,-0.0808333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
