"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Agrostis capillaris","Alnus incana","Anemone nemorosa","Angelica sylvestris","Betula pendula","Betula pubescens","Calamagrostis arundinacea","Calamagrostis epigejos","Calluna vulgaris","Carex digitata","Carex globularis","Convallaria majalis","Deschampsia cespitosa","Deschampsia flexuosa","Dryopteris carthusiana","Empetrum nigrum","Epilobium angustifolium","Equisetum sylvaticum","Fragaria vesca","Geranium sylvaticum","Goodyera repens","Gymnocarpium dryopteris","Hepatica nobilis","Juniperus communis","Linnaea borealis","Luzula pilosa","Lycopodium annotinum","Maianthemum bifolium","Melampyrum pratense","Melampyrum sylvaticum","Melica nutans","Orthilia secunda","Oxalis acetosella","Picea abies","Pinus sylvestris","Populus tremula","Potentilla erecta","Pteridium aquilinum","Rubus idaeus","Rubus saxatilis","Salix caprea","Solidago virgaurea","Sorbus aucuparia","Trientalis europaea","Vaccinium myrtillus","Vaccinium vitis-idaea","Veronica chamaedrys","Veronica officinalis","Viola palustris","Viola riviniana"
"plant_dec_3_SB_SampleID_18",228940,6710880,2006,792.851694107056,6.66666666666667,122,-0.2075,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"plant_dec_3_SB_SampleID_19",324900,6710880,2006,635.925161361694,5.74999981125195,134,-0.2075,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
"plant_dec_3_SB_SampleID_20",340890,6710880,2006,618.654687881469,5.7249998251597,146,-0.2075,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1
"plant_dec_3_SB_SampleID_21",388880,6710880,2006,578.641422271729,5.65833324193955,139,-0.2075,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1
"plant_dec_3_SB_SampleID_22",420860,6710880,2006,617.878389358521,5.59166662891706,139,-0.2075,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
"plant_dec_3_SB_SampleID_23",484840,6710880,2006,647.338018417359,5.55833346148332,142,-0.2075,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"plant_dec_3_SB_SampleID_24",516820,6710880,2006,611.706268310547,5.45000011722247,133,-0.2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"plant_dec_3_SB_SampleID_25",532820,6710880,2006,650.141927719117,5.25833331048488,132,-0.2075,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
"plant_dec_3_SB_SampleID_26",260930,6711280,2006,782.610786437988,6.21666653951009,128,-0.2075,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0
"plant_dec_3_SB_SampleID_27",276920,6711280,2006,697.974378585816,6.04999993244807,135,-0.2075,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"plant_dec_3_SB_SampleID_28",372880,6711280,2006,692.431329727173,5.59166647990544,143,-0.2075,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"plant_dec_3_SB_SampleID_29",356890,6712080,2006,666.255264282227,5.62499993046124,133,-0.2075,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1
"plant_dec_3_SB_SampleID_30",292910,6726880,2006,642.33804321289,5.81666690111161,108,-0.2075,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1
"plant_dec_3_SB_SampleID_31",324900,6726880,2006,651.687906265259,5.64999994635581,148,-0.2075,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0
