"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Andromeda polifolia","Betula nana","Betula pubescens","Calluna vulgaris","Carex globularis","Deschampsia flexuosa","Empetrum nigrum","Epilobium angustifolium","Equisetum sylvaticum","Juniperus communis","Ledum palustre","Linnaea borealis","Luzula pilosa","Lycopodium annotinum","Melampyrum pratense","Melampyrum sylvaticum","Picea abies","Pinus sylvestris","Populus tremula","Rubus chamaemorus","Solidago virgaurea","Sorbus aucuparia","Trientalis europaea","Vaccinium myrtillus","Vaccinium uliginosum","Vaccinium vitis-idaea"
"plant_dec_2_NB_SampleID_62",423860,7413800,1995,614.8706407547,0.358333289623251,218,-0.0808333333333333,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_63",455850,7413800,1995,670.038128852844,0.0666667272647317,218,-0.0808333333333333,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
"plant_dec_2_NB_SampleID_64",487830,7413800,1995,685.571983337402,0.166666686534888,217,-0.0808333333333333,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_65",551810,7413800,1995,736.601463317871,0.16666674613953,212,-0.0808333333333333,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"plant_dec_2_NB_SampleID_66",583790,7413800,1995,710.093340873718,-0.308333337306978,218,-0.0808333333333333,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
"plant_dec_2_NB_SampleID_67",455850,7414400,1995,670.038128852844,0.0666667272647317,218,-0.0808333333333333,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"plant_dec_2_NB_SampleID_68",487830,7414400,1995,685.571983337402,0.166666686534888,217,-0.0808333333333333,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"plant_dec_2_NB_SampleID_69",583790,7414400,1995,710.093340873718,-0.308333337306978,218,-0.0808333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"plant_dec_2_NB_SampleID_70",391870,7415000,1995,605.541155815125,0.0583333571751841,216,-0.0808333333333333,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_71",423860,7415000,1995,614.8706407547,0.358333289623251,218,-0.0808333333333333,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_72",455850,7415000,1995,670.038128852844,0.0666667272647317,218,-0.0808333333333333,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"plant_dec_2_NB_SampleID_73",375880,7437790,1995,674.865905761719,-0.44166654845079,218,-0.0808333333333333,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_74",407870,7437790,1995,654.546346664429,-0.299999932448074,219,-0.0808333333333333,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"plant_dec_2_NB_SampleID_75",439850,7437790,1995,673.610548973084,-0.26666663835446,220,-0.0808333333333333,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_76",503830,7437790,1995,690.392534255981,-0.166666616996123,217,-0.0808333333333333,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_77",567800,7437790,1995,719.717325210572,-0.275000095367427,216,-0.0808333333333333,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
"plant_dec_2_NB_SampleID_78",439850,7438390,1995,673.610548973084,-0.26666663835446,220,-0.0808333333333333,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_79",567800,7438390,1995,719.717325210572,-0.275000095367427,216,-0.0808333333333333,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_80",375880,7438990,1995,674.865905761719,-0.44166654845079,218,-0.0808333333333333,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_81",407870,7438990,1995,654.546346664429,-0.299999932448074,219,-0.0808333333333333,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"plant_dec_2_NB_SampleID_82",439850,7438990,1995,673.610548973084,-0.26666663835446,220,-0.0808333333333333,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_83",471840,7438990,1995,680.271913528443,-0.275000122686221,219,-0.0808333333333333,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"plant_dec_2_NB_SampleID_84",391870,7461780,1995,713.522956848145,-0.725000089655308,219,-0.0808333333333333,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1
