"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Canis lupus","Capreolus capreolus","Felis catus","Gulo gulo","Lepus europaeus","Lepus timidus","Lutra lutra","Lynx lynx","Mustela erminea","Mustela nivalis","Neovison vison","Nyctereutes procyonoides","Odocoileus virginianus","Rangifer tarandus fennicus","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_4_MB_SampleID_33",304900,6880140,2015,830.667374610901,5.62500003787379,110,0.433333333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_34",304900,6880140,2016,722.488880157471,4.43333329757055,142,-0.0383333333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_35",253030,6886580,2011,896.389976501465,5.49999995032947,132,0.293333333333333,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_36",253030,6886580,2012,1165.32157516479,3.79166662444671,146,-0.455833333333333,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_37",253030,6886580,2013,738.243701934814,5.25833335332572,136,0.21,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1
"mammals_dec_4_MB_SampleID_38",268170,6886740,2012,1123.56306648254,3.5666667073965,151,-0.455833333333333,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_39",268170,6886740,2013,717.428157806396,4.99999994412064,135,0.21,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_40",233850,6891480,2017,847.633130073546,4.59999990959963,141,0.225833333333333,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1
"mammals_dec_4_MB_SampleID_41",303470,6891830,2009,615.487644195556,3.79999997218451,126,-0.243333333333333,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_42",303470,6891830,2013,695.921738624573,4.81666665772597,136,0.21,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_43",303470,6891830,2015,829.673089027405,5.40833332203329,112,0.433333333333333,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1
"mammals_dec_4_MB_SampleID_44",303470,6891830,2017,758.42298412323,4.19166672229767,139,0.225833333333333,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1
"mammals_dec_4_MB_SampleID_45",293170,6892780,2009,614.897737503052,3.80833329757055,126,-0.243333333333333,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_46",313040,6893470,2008,1013.99467945099,4.89166669299205,130,-0.378333333333333,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1
"mammals_dec_4_MB_SampleID_47",313040,6893470,2009,622.723819732666,3.70833336313566,127,-0.243333333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_48",313040,6893470,2011,787.26842212677,4.85833334550261,131,0.293333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"mammals_dec_4_MB_SampleID_49",313040,6893470,2013,704.90634727478,4.72500001142422,140,0.21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_50",288550,6893700,2009,614.897737503052,3.80833329757055,126,-0.243333333333333,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_51",271910,6898620,2009,597.314388275146,3.83333334326744,126,-0.243333333333333,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_52",271910,6898620,2010,640.278902053833,2.44166658322016,162,-1.1525,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"mammals_dec_4_MB_SampleID_53",271910,6898620,2013,741.638116836549,4.77499997367462,134,0.21,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_54",321510,6900350,2008,961.263923645019,4.76666674514612,133,-0.378333333333333,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1
"mammals_dec_4_MB_SampleID_55",321510,6900350,2011,807.451519966125,4.7583333812654,134,0.293333333333333,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1
"mammals_dec_4_MB_SampleID_56",321510,6900350,2015,820.248449325562,5.31666672726472,116,0.433333333333333,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1
