"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Gulo gulo","Lepus timidus","Lutra lutra","Mustela erminea","Mustela nivalis","Neovison vison","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_2_NB_SampleID_1",630270,7231510,1995,714.196796417236,1.05000003178915,218,-0.0808333333333333,0,1,1,0,0,0,0,1,1,1
"mammals_dec_2_NB_SampleID_2",630270,7231510,1997,730.827169418335,0.40000002582868,229,-0.156666666666667,1,0,1,0,0,0,0,1,0,0
"mammals_dec_2_NB_SampleID_3",632010,7231820,1997,730.827169418335,0.40000002582868,229,-0.156666666666667,0,0,1,0,0,1,0,1,1,0
"mammals_dec_2_NB_SampleID_4",629130,7232090,1993,682.871477603912,0.0833333532015399,217,0.179166666666667,0,0,0,0,0,0,0,1,0,0
"mammals_dec_2_NB_SampleID_5",629130,7232090,1995,714.196796417236,1.05000003178915,218,-0.0808333333333333,0,1,1,0,0,0,0,1,1,1
"mammals_dec_2_NB_SampleID_6",628310,7232820,1989,731.190740585327,2.37499995219211,172,0.701666666666667,1,0,1,0,0,0,0,0,0,0
"mammals_dec_2_NB_SampleID_7",628310,7232820,1990,596.529758453369,1.08333345875144,187,0.594166666666667,1,0,1,0,0,0,0,1,0,1
"mammals_dec_2_NB_SampleID_8",628310,7232820,1991,861.119857788085,0.583333326503643,194,0.268333333333333,0,0,0,0,0,0,0,1,0,0
"mammals_dec_2_NB_SampleID_9",628310,7232820,1992,762.208812713623,0.966666579246516,215,0.580833333333333,0,0,1,0,0,0,0,0,1,1
"mammals_dec_2_NB_SampleID_10",628310,7232820,1993,682.871477603912,0.0833333532015399,217,0.179166666666667,0,0,1,0,0,0,0,0,0,1
"mammals_dec_2_NB_SampleID_11",628310,7232820,1994,705.994441986084,0.408333346247664,212,0.575833333333333,1,0,0,0,0,0,1,1,1,1
"mammals_dec_2_NB_SampleID_12",628310,7232820,1995,714.196796417236,1.05000003178915,218,-0.0808333333333333,1,0,1,0,0,0,1,0,0,1
"mammals_dec_2_NB_SampleID_13",628310,7232820,1996,788.746351242065,0.533333341280622,216,-0.214166666666667,0,1,1,0,0,0,1,1,1,1
"mammals_dec_2_NB_SampleID_14",628310,7232820,1997,730.827169418335,0.40000002582868,229,-0.156666666666667,1,1,1,0,0,0,0,0,1,1
