"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Canis lupus","Capreolus capreolus","Felis catus","Gulo gulo","Lepus europaeus","Lepus timidus","Lutra lutra","Lynx lynx","Mustela erminea","Mustela nivalis","Neovison vison","Nyctereutes procyonoides","Odocoileus virginianus","Rangifer tarandus fennicus","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_3_MB_SampleID_1",231570,6864020,1999,838.243740081787,4.8083333770434,144,0.390833333333333,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1
"mammals_dec_3_MB_SampleID_2",231570,6864020,2001,753.2815990448,4.43333331247171,141,-0.1825,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1
"mammals_dec_3_MB_SampleID_3",305800,6869240,2005,923.155366420747,4.46666675806046,157,-0.2675,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
"mammals_dec_3_MB_SampleID_4",258540,6869250,1999,914.938251495362,4.24166669448218,153,0.390833333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_5",258540,6869250,2006,740.550869941712,5.2083332935969,147,-0.2075,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_3_MB_SampleID_6",234370,6870250,2001,753.454494476319,4.16666665673256,159,-0.1825,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1
"mammals_dec_3_MB_SampleID_7",234370,6870250,2003,687.149918556214,4.22500003377597,142,0.0975,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_3_MB_SampleID_8",228470,6870760,2003,655.734882354736,4.33333339790503,140,0.0975,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1
"mammals_dec_3_MB_SampleID_9",241330,6873490,2001,753.454494476319,4.16666665673256,159,-0.1825,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_10",241330,6873490,2002,770.282773017883,4.45833327372869,166,0.0391666666666667,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1
"mammals_dec_3_MB_SampleID_11",234820,6873990,2001,753.454494476319,4.16666665673256,159,-0.1825,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1
"mammals_dec_3_MB_SampleID_12",234820,6873990,2002,770.282773017883,4.45833327372869,166,0.0391666666666667,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_13",234820,6873990,2003,687.149918556214,4.22500003377597,142,0.0975,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_14",240760,6874090,2002,770.282773017883,4.45833327372869,166,0.0391666666666667,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1
"mammals_dec_3_MB_SampleID_15",240760,6874090,2005,904.108028411865,5.01666669050852,148,-0.2675,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1
"mammals_dec_3_MB_SampleID_16",230520,6875230,1998,1014.7388010025,3.94166674216589,153,-0.480833333333333,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
"mammals_dec_3_MB_SampleID_17",230520,6875230,2000,900.562320709228,5.78333334935209,117,0.206666666666667,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
"mammals_dec_3_MB_SampleID_18",230520,6875230,2003,655.734882354736,4.33333339790503,140,0.0975,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1
"mammals_dec_3_MB_SampleID_19",230520,6875230,2005,913.834330558777,5.15000001589457,146,-0.2675,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1
"mammals_dec_3_MB_SampleID_20",230520,6875230,2006,767.44291305542,5.60000005364418,141,-0.2075,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1
"mammals_dec_3_MB_SampleID_21",230520,6875230,2007,990.31925868988,5.4083333214124,98,0.173333333333333,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1
"mammals_dec_3_MB_SampleID_22",265500,6875480,2002,708.042458772659,4.16666672130426,172,0.0391666666666667,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_23",238490,6877900,2001,777.118255615235,4.03333338101704,161,-0.1825,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
"mammals_dec_3_MB_SampleID_24",238490,6877900,2003,679.05488204956,4.12499999006589,144,0.0975,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_25",276460,6878440,2000,918.231657028198,5.17500002682209,126,0.206666666666667,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_3_MB_SampleID_26",304900,6880140,2001,806.482276916504,3.51666669050853,170,-0.1825,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_27",304900,6880140,2002,748.47113251686,3.81666674216588,182,0.0391666666666667,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_28",243260,6882310,1998,1026.07607746124,3.60833338896433,158,-0.480833333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"mammals_dec_3_MB_SampleID_29",243260,6882310,2005,920.985511779785,4.8833332459132,148,-0.2675,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_30",227820,6883830,2000,880.900363922119,5.59166661898295,119,0.206666666666667,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_3_MB_SampleID_31",253030,6886580,2000,900.12416267395,5.42500008332232,125,0.206666666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_32",253030,6886580,2006,745.581797599792,5.2166666785876,148,-0.2075,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_33",248360,6886710,1999,907.202552795411,4.25833315650621,153,0.390833333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_3_MB_SampleID_34",248360,6886710,2001,775.226446151733,3.93333340684572,161,-0.1825,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_3_MB_SampleID_35",248360,6886710,2004,856.363957643509,4.5916666785876,141,0.2425,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1
"mammals_dec_3_MB_SampleID_36",268170,6886740,1999,935.825019836424,4.01666664083799,151,0.390833333333333,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
"mammals_dec_3_MB_SampleID_37",268170,6886740,2000,917.518632888793,5.21666671335697,132,0.206666666666667,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_38",268170,6886740,2002,728.823118686677,4.03333337108295,171,0.0391666666666667,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1
"mammals_dec_3_MB_SampleID_39",268170,6886740,2005,883.004295349121,4.60000010331472,150,-0.2675,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
"mammals_dec_3_MB_SampleID_40",320390,6888810,2001,782.47389793396,3.30833331743877,176,-0.1825,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_41",285440,6890130,1999,882.205661773681,3.79999995231629,142,0.390833333333333,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_42",285440,6890130,2004,761.94752407074,4.09999999403953,138,0.2425,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_43",233850,6891480,2002,715.006567716598,4.24166674911975,168,0.0391666666666667,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1
"mammals_dec_3_MB_SampleID_44",288550,6893700,2005,864.774991512299,4.45000000794729,147,-0.2675,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"mammals_dec_3_MB_SampleID_45",310530,6901140,1998,950.270076751708,2.79166667660077,167,-0.480833333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_46",310530,6901140,2000,799.493659973144,4.8666666050752,136,0.206666666666667,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_47",289240,6905730,2001,802.056072235107,3.38333323597908,153,-0.1825,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_48",289240,6905730,2006,692.437020301819,4.7333334311843,144,-0.2075,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1
"mammals_dec_3_MB_SampleID_49",289240,6905730,2007,875.971680641175,4.45000003278255,86,0.173333333333333,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_50",305680,6906600,2000,799.493659973144,4.8666666050752,136,0.206666666666667,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_51",305680,6906600,2002,734.103898048402,3.65833338101705,183,0.0391666666666667,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
"mammals_dec_3_MB_SampleID_52",305680,6906600,2007,831.119909286499,4.35000000024835,116,0.173333333333333,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_53",275500,6909650,2000,880.032669067382,4.95000000794729,130,0.206666666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"mammals_dec_3_MB_SampleID_54",275500,6909650,2006,677.965414047241,4.71666662891706,152,-0.2075,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
"mammals_dec_3_MB_SampleID_55",296370,6910480,2002,738.099444150924,3.67500009139378,163,0.0391666666666667,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
"mammals_dec_3_MB_SampleID_56",252140,6911710,1998,961.182290077209,3.09166667858759,159,-0.480833333333333,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
"mammals_dec_3_MB_SampleID_57",252140,6911710,2000,857.937437057494,5.02499997615814,125,0.206666666666667,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_3_MB_SampleID_58",362350,6912010,1999,769.67329788208,3.53333330154419,152,0.390833333333333,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1
"mammals_dec_3_MB_SampleID_59",362350,6912010,2001,919.839904785156,3.09166671832403,175,-0.1825,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
"mammals_dec_3_MB_SampleID_60",362350,6912010,2004,862.715271949768,3.50833332538605,157,0.2425,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1
"mammals_dec_3_MB_SampleID_61",362350,6912010,2005,808.880165100098,4.11666667461395,155,-0.2675,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
"mammals_dec_3_MB_SampleID_62",246800,6912280,2003,682.375691413879,3.76666665573915,149,0.0975,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1
"mammals_dec_3_MB_SampleID_63",289310,6913890,2004,735.460061311722,4.0333333214124,134,0.2425,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1
"mammals_dec_3_MB_SampleID_64",289310,6913890,2005,821.316020488738,4.37499998013179,141,-0.2675,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1
"mammals_dec_3_MB_SampleID_65",349580,6914660,2007,813.72124671936,4.2250000120451,106,0.173333333333333,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_66",415690,6915410,2005,827.127219200134,4.12499999999999,152,-0.2675,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_67",415690,6915410,2006,615.711711883545,4.06666667759418,152,-0.2075,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_68",236160,6919510,2001,786.5010471344,3.56666670242945,159,-0.1825,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_69",236160,6919510,2003,662.031581878662,3.87500008443991,142,0.0975,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_70",236160,6919510,2004,803.80344414711,4.38333338499068,139,0.2425,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_71",236160,6919510,2005,788.893642425537,4.58333341280619,143,-0.2675,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"mammals_dec_3_MB_SampleID_72",391270,6922080,1999,777.428756713867,3.46666668665905,158,0.390833333333333,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_73",391270,6922080,2001,833.907304763794,2.94166664282481,178,-0.1825,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_74",412840,6923640,1998,914.264206886292,2.3833333303531,180,-0.480833333333333,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_75",412840,6923640,2000,844.783197402954,4.4666668176651,147,0.206666666666667,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_76",412840,6923640,2001,804.725429534912,2.849999944369,178,-0.1825,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_3_MB_SampleID_77",412840,6923640,2005,929.412461757659,3.94166648387908,155,-0.2675,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
"mammals_dec_3_MB_SampleID_78",245400,6923800,2000,815.978675842284,5.04166664679845,129,0.206666666666667,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_79",245400,6923800,2001,770.024156570435,3.47499997417132,164,-0.1825,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_80",375540,6923890,1999,767.407169342041,3.45833350842198,159,0.390833333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_3_MB_SampleID_81",375540,6923890,2000,878.457628250122,4.59166662891706,149,0.206666666666667,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_82",423700,6924840,2007,840.431522369384,4.17499996597568,114,0.173333333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_83",371580,6925240,1999,780.927391052246,3.44166682660579,154,0.390833333333333,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
"mammals_dec_3_MB_SampleID_84",371580,6925240,2001,904.944795608521,2.9916667342186,175,-0.1825,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_3_MB_SampleID_85",278760,6925850,2003,729.8431224823,3.70833332836628,132,0.0975,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_86",278760,6925850,2005,804.621238708496,4.42499999205272,142,-0.2675,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
"mammals_dec_3_MB_SampleID_87",278760,6925850,2007,891.054343223572,4.40833331396182,93,0.173333333333333,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1
"mammals_dec_3_MB_SampleID_88",382390,6927080,1999,763.547483444214,3.35833333743115,154,0.390833333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_89",382390,6927080,2002,871.253597259522,3.19166665275892,181,0.0391666666666667,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
"mammals_dec_3_MB_SampleID_90",294670,6928470,1998,935.717425346374,2.88333334525426,155,-0.480833333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_MB_SampleID_91",294670,6928470,2006,598.46674823761,4.56666668504477,144,-0.2075,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
