"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Canis lupus","Gulo gulo","Lepus europaeus","Lepus timidus","Lutra lutra","Lynx lynx","Mustela erminea","Mustela nivalis","Neovison vison","Nyctereutes procyonoides","Odocoileus virginianus","Rangifer tarandus fennicus","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_2_MB_SampleID_986",370920,7376260,1992,943.727254867554,1.5083332657814,215,0.580833333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_987",370920,7376260,1997,581.637228012085,1.22500000397364,205,-0.156666666666667,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_988",430060,7380640,1991,734.081331253052,0.541666813815634,203,0.268333333333333,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_989",437030,7383550,1990,660.131187915802,1.5166666607062,178,0.594166666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_990",437030,7383550,1991,721.185043334961,0.649999992301058,205,0.268333333333333,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_991",437030,7383550,1993,670.690082550049,0.558333406845724,205,0.179166666666667,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_992",437030,7383550,1996,695.599712371826,0.741666724284499,199,-0.214166666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_993",405210,7385700,1989,725.274875640869,1.89999993642172,169,0.701666666666667,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_994",405210,7385700,1994,562.977868080139,0.308333337306982,202,0.575833333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_995",390500,7388980,1994,520.095706939697,0.383333345254272,201,0.575833333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_996",390500,7388980,1996,694.578297615051,0.575000062584877,211,-0.214166666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_997",370970,7396890,1990,525.75172328949,1.45833343267441,177,0.594166666666667,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_998",370970,7396890,1993,682.934381484985,0.291666666666663,207,0.179166666666667,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"mammals_dec_2_MB_SampleID_999",370970,7396890,1994,509.501437187195,0.0833334010094487,194,0.575833333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_1000",370970,7396890,1995,597.382969856262,0.199999918540312,214,-0.0808333333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
