"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Canis lupus","Capreolus capreolus","Felis catus","Lepus europaeus","Lepus timidus","Lutra lutra","Lynx lynx","Mustela erminea","Mustela nivalis","Neovison vison","Nyctereutes procyonoides","Odocoileus virginianus","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_3_SB_SampleID_36",309110,6657440,2001,826.304738044739,5.58333317066233,145,-0.1825,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1
"mammals_dec_3_SB_SampleID_37",309110,6657440,2006,638.602803707123,6.34166671832403,130,-0.2075,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1
"mammals_dec_3_SB_SampleID_38",309110,6657440,2007,954.577243804932,6.44166655341784,87,0.173333333333333,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_39",292010,6660200,2002,628.992349147797,5.80833333730697,144,0.0391666666666667,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1
"mammals_dec_3_SB_SampleID_40",292010,6660200,2006,680.444082736969,6.44166660308838,126,-0.2075,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_41",279630,6661210,2001,873.156782150268,5.95833327372869,129,-0.1825,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_42",279630,6661210,2003,599.912609577179,5.45833336561919,122,0.0975,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_43",281250,6661750,2002,606.674691200256,5.98333330700795,136,0.0391666666666667,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_44",311220,6663250,2001,826.304738044739,5.58333317066233,145,-0.1825,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_SB_SampleID_45",311220,6663250,2002,645.667747497558,5.67500013113023,170,0.0391666666666667,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_46",311220,6663250,2003,624.240337371826,5.29166648785274,132,0.0975,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_47",362820,6665220,2002,546.939324378967,5.75833341976008,178,0.0391666666666667,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"mammals_dec_3_SB_SampleID_48",336620,6665410,2002,587.651865005493,5.74166663611928,173,0.0391666666666667,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
"mammals_dec_3_SB_SampleID_49",336620,6665410,2003,612.422651290894,5.23333337406318,128,0.0975,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_50",336620,6665410,2007,930.401210784913,6.48333337406318,84,0.173333333333333,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
"mammals_dec_3_SB_SampleID_51",317620,6666060,2006,634.385494232177,6.2666667898496,130,-0.2075,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1
"mammals_dec_3_SB_SampleID_52",277960,6666650,2003,599.912609577179,5.45833336561919,122,0.0975,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1
"mammals_dec_3_SB_SampleID_53",277960,6666650,2006,687.947340965271,6.599999944369,118,-0.2075,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1
"mammals_dec_3_SB_SampleID_54",330250,6666890,2001,828.404236793518,5.3999999264876,150,-0.1825,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1
"mammals_dec_3_SB_SampleID_55",330250,6666890,2003,643.034824371338,5.12499990065892,130,0.0975,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_56",314980,6667310,2002,672.618193149566,5.54166665983697,177,0.0391666666666667,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_57",284370,6667320,2003,622.025716781616,5.28333326180777,127,0.0975,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_58",250830,6668470,2002,671.762186527252,6.07499991854032,132,0.0391666666666667,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_59",250830,6668470,2006,808.302787780761,6.70000004768373,116,-0.2075,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1
"mammals_dec_3_SB_SampleID_60",335630,6668500,2001,821.926027297974,5.44166667076448,147,-0.1825,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_61",339950,6669100,2000,1001.1040763855,6.68333321313064,102,0.206666666666667,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_62",345150,6669140,2002,614.424047470093,5.56666665337979,178,0.0391666666666667,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_63",309570,6669900,2002,664.775059223175,5.57500005637606,178,0.0391666666666667,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
"mammals_dec_3_SB_SampleID_64",347550,6670240,2007,987.680067062377,6.31666664096215,83,0.173333333333333,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1
"mammals_dec_3_SB_SampleID_65",245980,6670250,2001,935.048066139221,5.93333335469166,137,-0.1825,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_66",320790,6670310,2002,672.618193149566,5.54166665983697,177,0.0391666666666667,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_67",314910,6670370,2002,672.618193149566,5.54166665983697,177,0.0391666666666667,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1
"mammals_dec_3_SB_SampleID_68",314910,6670370,2004,1106.88941955566,5.45833344447116,148,0.2425,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1
"mammals_dec_3_SB_SampleID_69",282700,6670390,2003,612.63236618042,5.37499984291692,124,0.0975,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_70",282700,6670390,2005,845.633666992187,6.07500001539787,131,-0.2675,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_71",249540,6670880,2002,671.762186527252,6.07499991854032,132,0.0391666666666667,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_72",333460,6671920,2003,643.034824371338,5.12499990065892,130,0.0975,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1
"mammals_dec_3_SB_SampleID_73",337440,6673620,2002,634.416328430176,5.53333331458271,174,0.0391666666666667,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_74",322080,6673930,2003,632.453358650208,5.13333329558372,133,0.0975,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_75",348840,6674350,2000,974.47730922699,6.70000000298024,101,0.206666666666667,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1
"mammals_dec_3_SB_SampleID_76",348840,6674350,2001,824.894426345825,5.4500000178814,147,-0.1825,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_77",348840,6674350,2002,614.424047470093,5.56666665337979,178,0.0391666666666667,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1
"mammals_dec_3_SB_SampleID_78",295290,6677010,2003,612.456534862518,5.14999988675117,136,0.0975,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1
"mammals_dec_3_SB_SampleID_79",295290,6677010,2006,658.780600070953,6.20000012715657,136,-0.2075,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1
"mammals_dec_3_SB_SampleID_80",365430,6677270,2001,886.592500686646,5.341666692247,141,-0.1825,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1
"mammals_dec_3_SB_SampleID_81",390420,6677360,2001,870.136720657349,5.45833344074588,141,-0.1825,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"mammals_dec_3_SB_SampleID_82",343760,6677880,2001,840.976259231567,5.31666677383085,148,-0.1825,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_83",388790,6679250,2000,877.912936210633,6.7499999354283,75,0.206666666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
