"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Canis lupus","Capreolus capreolus","Felis catus","Gulo gulo","Lepus europaeus","Lepus timidus","Lutra lutra","Lynx lynx","Mustela erminea","Mustela nivalis","Neovison vison","Nyctereutes procyonoides","Odocoileus virginianus","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_4_SB_SampleID_726",600480,6881390,2011,842.643905639648,4.55833331743876,151,0.293333333333333,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"mammals_dec_4_SB_SampleID_727",600480,6881390,2014,824.851428031922,5.12499995281299,144,0.186666666666667,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
"mammals_dec_4_SB_SampleID_728",600480,6881390,2016,1017.67107391357,4.20833340287208,177,-0.0383333333333333,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1
"mammals_dec_4_SB_SampleID_729",600480,6881390,2017,861.721700668335,3.95833330849806,194,0.225833333333333,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1
"mammals_dec_4_SB_SampleID_730",644080,6881780,2017,757.534856796264,4.12499995281299,157,0.225833333333333,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1
"mammals_dec_4_SB_SampleID_731",528140,6882210,2008,880.17495727539,4.82499999801318,146,-0.378333333333333,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
"mammals_dec_4_SB_SampleID_732",477210,6882610,2008,983.518697738648,4.85000000397364,150,-0.378333333333333,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"mammals_dec_4_SB_SampleID_733",477210,6882610,2009,686.243576049805,3.60833339889844,168,-0.243333333333333,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0
"mammals_dec_4_SB_SampleID_734",416650,6882680,2010,743.755491256714,2.40000003576278,181,-1.1525,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1
"mammals_dec_4_SB_SampleID_735",416650,6882680,2011,943.858484268188,4.82500004395844,143,0.293333333333333,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1
"mammals_dec_4_SB_SampleID_736",416650,6882680,2013,799.585871696473,4.74166667213042,154,0.21,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_4_SB_SampleID_737",416650,6882680,2015,808.921382904053,5.15833342820406,137,0.433333333333333,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1
"mammals_dec_4_SB_SampleID_738",659370,6882950,2011,851.26471042633,4.38333338002365,146,0.293333333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
"mammals_dec_4_SB_SampleID_739",453470,6883350,2008,1034.85346221924,4.78333335369826,149,-0.378333333333333,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1
"mammals_dec_4_SB_SampleID_740",453470,6883350,2009,729.826257705688,3.60833336412907,168,-0.243333333333333,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1
"mammals_dec_4_SB_SampleID_741",453470,6883350,2011,878.365650177002,4.87500004470348,140,0.293333333333333,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1
"mammals_dec_4_SB_SampleID_742",453470,6883350,2013,858.992261886597,4.79166675607363,149,0.21,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
"mammals_dec_4_SB_SampleID_743",453470,6883350,2015,818.102375030517,5.43333338201046,131,0.433333333333333,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1
"mammals_dec_4_SB_SampleID_744",444030,6883540,2015,818.102375030517,5.43333338201046,131,0.433333333333333,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
"mammals_dec_4_SB_SampleID_745",444050,6883550,2008,1034.85346221924,4.78333335369826,149,-0.378333333333333,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
"mammals_dec_4_SB_SampleID_746",444050,6883550,2011,878.365650177002,4.87500004470348,140,0.293333333333333,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_SB_SampleID_747",547530,6884820,2015,757.319822311401,5.69166671236356,110,0.433333333333333,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
"mammals_dec_4_SB_SampleID_748",371680,6884900,2009,648.880891799927,3.85833339889844,139,-0.243333333333333,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"mammals_dec_4_SB_SampleID_749",371680,6884900,2010,720.51132774353,2.49999996026358,167,-1.1525,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"mammals_dec_4_SB_SampleID_750",371680,6884900,2013,747.784729003906,4.97500000769893,140,0.21,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1
"mammals_dec_4_SB_SampleID_751",371680,6884900,2016,823.263494491577,4.41666669646899,139,-0.0383333333333333,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1
"mammals_dec_4_SB_SampleID_752",610000,6885160,2015,891.79835319519,5.28333333258827,128,0.433333333333333,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1
"mammals_dec_4_SB_SampleID_753",610000,6885160,2016,997.885700225829,4.2666666507721,166,-0.0383333333333333,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
