"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Canis lupus","Lepus europaeus","Lepus timidus","Lutra lutra","Lynx lynx","Mustela erminea","Mustela nivalis","Neovison vison","Nyctereutes procyonoides","Odocoileus virginianus","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_2_SB_SampleID_46",447910,6704570,1995,727.616905212402,5.28333328478038,162,-0.0808333333333333,1,0,0,1,0,1,0,0,0,1,0,1,1,1
"mammals_dec_2_SB_SampleID_47",370730,6705220,1993,709.440878391266,4.53333328664303,111,0.179166666666667,0,0,1,1,0,0,0,1,0,0,1,0,0,1
"mammals_dec_2_SB_SampleID_48",432900,6705940,1991,800.110635757446,5.26666654149692,125,0.268333333333333,1,0,0,1,0,0,0,0,0,0,0,1,1,1
"mammals_dec_2_SB_SampleID_49",432900,6705940,1996,908.045485496521,3.90000005563099,135,-0.214166666666667,1,0,1,1,0,0,0,0,0,0,0,1,0,0
"mammals_dec_2_SB_SampleID_50",270350,6708970,1994,754.184339046479,4.549999995778,126,0.575833333333333,1,0,1,1,0,0,0,1,0,0,0,1,0,1
"mammals_dec_2_SB_SampleID_51",411460,6709380,1995,689.16145324707,5.00833340858419,162,-0.0808333333333333,1,0,1,1,0,0,0,1,1,0,0,1,1,1
"mammals_dec_2_SB_SampleID_52",486090,6710500,1993,696.616067409515,4.37499999999999,112,0.179166666666667,1,0,0,1,0,0,0,1,0,0,0,0,0,1
"mammals_dec_2_SB_SampleID_53",486090,6710500,1997,664.361377716065,5.04166677594185,135,-0.156666666666667,0,0,0,1,0,0,0,1,0,0,0,1,1,1
"mammals_dec_2_SB_SampleID_54",320000,6714050,1995,877.531188964844,4.94166655838489,153,-0.0808333333333333,1,0,0,1,0,0,0,0,0,0,1,1,0,1
"mammals_dec_2_SB_SampleID_55",425920,6714730,1995,704.058937072754,5.13333324777584,167,-0.0808333333333333,1,0,0,1,0,0,0,0,0,1,1,0,1,1
"mammals_dec_2_SB_SampleID_56",521640,6715530,1989,778.225570678711,6.39166664270063,113,0.701666666666667,1,0,0,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_SB_SampleID_57",521640,6715530,1990,866.241104125977,5.69999998311201,92,0.594166666666667,0,0,0,1,0,0,0,0,0,0,0,1,1,1
"mammals_dec_2_SB_SampleID_58",521640,6715530,1993,667.37889289856,4.33333333333333,129,0.179166666666667,0,0,0,1,0,0,0,1,0,1,0,1,1,1
"mammals_dec_2_SB_SampleID_59",521640,6715530,1994,826.98096036911,4.16666673620542,125,0.575833333333333,1,0,0,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_SB_SampleID_60",521640,6715530,1997,697.129236221313,5.00000004470349,143,-0.156666666666667,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"mammals_dec_2_SB_SampleID_61",331810,6717240,1994,717.940071821213,4.04166679581007,128,0.575833333333333,1,0,0,1,0,1,0,0,0,1,1,1,1,1
"mammals_dec_2_SB_SampleID_62",494390,6717530,1990,801.957724571228,5.50833339989185,114,0.594166666666667,1,0,0,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_SB_SampleID_63",529310,6718330,1995,797.30057144165,4.89999992152055,158,-0.0808333333333333,1,0,0,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_SB_SampleID_64",268550,6719790,1991,825.235137939453,5.28333329657714,110,0.268333333333333,0,0,0,1,0,0,0,1,0,0,0,1,1,1
"mammals_dec_2_SB_SampleID_65",268550,6719790,1996,832.827110767364,3.9999998807907,143,-0.214166666666667,1,0,0,1,0,0,0,0,0,0,1,0,0,1
"mammals_dec_2_SB_SampleID_66",414150,6720730,1989,825.549449920654,6.16666672689219,126,0.701666666666667,1,0,0,1,0,1,0,1,1,1,1,1,0,1
"mammals_dec_2_SB_SampleID_67",414150,6720730,1991,745.963371276855,5.05833337704341,133,0.268333333333333,0,0,1,1,0,1,0,0,1,0,0,1,1,1
"mammals_dec_2_SB_SampleID_68",414150,6720730,1993,750.158290863036,4.14166673024495,137,0.179166666666667,0,0,0,1,0,0,0,1,0,0,0,1,1,1
"mammals_dec_2_SB_SampleID_69",414150,6720730,1996,843.196912765502,3.63333326578141,141,-0.214166666666667,1,0,0,1,0,0,0,1,0,0,0,1,1,1
"mammals_dec_2_SB_SampleID_70",543800,6720760,1995,761.159450531006,4.93333337083459,158,-0.0808333333333333,1,0,0,1,0,0,0,0,0,1,0,1,0,1
"mammals_dec_2_SB_SampleID_71",465520,6721180,1990,841.877571105957,5.71666665375232,115,0.594166666666667,1,0,0,1,1,1,0,1,0,0,0,1,1,1
"mammals_dec_2_SB_SampleID_72",282440,6721390,1992,710.012969970703,5.5166666538765,99,0.580833333333333,1,0,0,1,0,0,0,1,0,0,1,1,1,1
"mammals_dec_2_SB_SampleID_73",282440,6721390,1994,733.102032184601,4.40833341081936,115,0.575833333333333,1,0,1,1,0,0,0,0,0,0,1,1,0,1
"mammals_dec_2_SB_SampleID_74",282440,6721390,1996,833.764726161958,3.90000009536743,134,-0.214166666666667,1,0,1,1,0,1,0,0,0,0,1,1,0,1
"mammals_dec_2_SB_SampleID_75",282440,6721390,1997,766.087430953979,5.25833347626032,104,-0.156666666666667,1,0,1,1,0,0,0,1,0,0,1,1,1,1
"mammals_dec_2_SB_SampleID_76",257200,6722610,1991,854.355962753297,5.37500003352762,108,0.268333333333333,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"mammals_dec_2_SB_SampleID_77",358430,6723930,1989,665.834156036377,5.98333345229428,124,0.701666666666667,0,0,0,1,0,0,0,1,0,1,0,1,0,1
"mammals_dec_2_SB_SampleID_78",358430,6723930,1993,673.698628425598,4.1500000456969,114,0.179166666666667,0,0,0,1,0,0,0,1,0,1,0,1,0,1
"mammals_dec_2_SB_SampleID_79",358430,6723930,1994,683.136277079582,4.06666666269302,117,0.575833333333333,0,0,0,1,0,1,0,0,0,1,1,0,0,1
"mammals_dec_2_SB_SampleID_80",358430,6723930,1996,837.534327030183,3.64166665077209,144,-0.214166666666667,0,0,0,1,0,0,0,0,0,0,1,0,1,1
"mammals_dec_2_SB_SampleID_81",370170,6724870,1991,771.989805221557,4.94999998807907,126,0.268333333333333,1,0,0,1,0,0,0,1,0,0,0,1,1,1
"mammals_dec_2_SB_SampleID_82",394990,6725160,1990,840.923351287842,5.50833338002363,119,0.594166666666667,0,0,1,1,0,0,0,0,0,1,0,1,1,1
"mammals_dec_2_SB_SampleID_83",394990,6725160,1992,768.737693786621,5.2499999118348,171,0.580833333333333,1,0,0,1,0,0,0,1,0,0,1,1,1,1
"mammals_dec_2_SB_SampleID_84",223260,6725790,1989,765.521724700928,6.88333342969418,98,0.701666666666667,1,0,1,1,0,0,0,1,0,1,0,1,0,1
"mammals_dec_2_SB_SampleID_85",223260,6725790,1990,781.906162261963,6.74166676650445,84,0.594166666666667,1,0,1,1,0,0,0,0,0,1,0,1,0,1
"mammals_dec_2_SB_SampleID_86",223260,6725790,1997,848.444435119629,6.01666662283241,133,-0.156666666666667,0,0,1,1,0,0,0,0,0,1,0,1,0,1
"mammals_dec_2_SB_SampleID_87",416610,6725830,1991,745.963371276855,5.05833337704341,133,0.268333333333333,0,0,1,1,0,1,0,0,0,1,0,1,1,1
"mammals_dec_2_SB_SampleID_88",416610,6725830,1993,750.158290863036,4.14166673024495,137,0.179166666666667,1,0,0,1,0,1,0,0,0,0,0,1,1,1
"mammals_dec_2_SB_SampleID_89",416610,6725830,1995,687.543153762817,4.9416667173306,162,-0.0808333333333333,1,0,0,1,0,0,0,0,0,0,0,1,1,1
"mammals_dec_2_SB_SampleID_90",478990,6726600,1995,697.514364242554,5.11666650759677,156,-0.0808333333333333,1,0,0,1,0,0,0,0,0,1,0,0,1,1
"mammals_dec_2_SB_SampleID_91",346220,6727000,1993,677.285958766938,4.19999999801318,129,0.179166666666667,1,0,0,1,0,1,0,1,0,0,0,1,1,1
"mammals_dec_2_SB_SampleID_92",346220,6727000,1997,838.596044540406,4.80833343664806,135,-0.156666666666667,1,0,0,1,0,0,0,1,0,0,1,1,0,1
"mammals_dec_2_SB_SampleID_93",311260,6729840,1989,698.285427093506,5.98333320580424,101,0.701666666666667,1,0,0,1,0,0,0,1,0,0,0,1,1,1
"mammals_dec_2_SB_SampleID_94",311260,6729840,1990,793.673849105835,5.62500003476938,114,0.594166666666667,1,0,1,1,0,1,0,1,0,0,0,1,1,1
"mammals_dec_2_SB_SampleID_95",311260,6729840,1991,752.331713676452,4.93333347141742,127,0.268333333333333,1,0,1,1,0,0,0,0,0,0,0,1,1,1
