"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Gulo gulo","Lepus timidus","Lutra lutra","Mustela erminea","Mustela nivalis","Neovison vison","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_3_NB_SampleID_545",511890,7408620,2001,722.046132087707,-0.0999999990065842,193,-0.1825,1,0,1,0,0,1,0,1,1,1
"mammals_dec_3_NB_SampleID_546",511890,7408620,2002,725.811491966248,-0.166666766007745,196,0.0391666666666667,1,0,1,0,0,0,0,0,1,1
"mammals_dec_3_NB_SampleID_547",525370,7408750,1998,927.331518173218,-1.4666666040818,201,-0.480833333333333,0,0,1,0,0,0,0,0,0,1
"mammals_dec_3_NB_SampleID_548",525370,7408750,1999,648.526111602783,0.100000048677124,182,0.390833333333333,1,0,1,0,0,0,0,0,0,1
"mammals_dec_3_NB_SampleID_549",525370,7408750,2000,849.09267616272,1.75833330055078,192,0.206666666666667,1,0,1,0,0,0,0,0,0,1
"mammals_dec_3_NB_SampleID_550",525370,7408750,2001,634.689774513245,-0.0166666458050397,192,-0.1825,1,0,1,0,0,0,0,0,0,1
"mammals_dec_3_NB_SampleID_551",525370,7408750,2002,700.712359428405,-0.166666785875947,192,0.0391666666666667,1,0,1,0,0,0,0,0,0,1
"mammals_dec_3_NB_SampleID_552",525370,7408750,2003,559.760446548462,0.875000039736433,195,0.0975,1,0,1,0,0,0,0,0,0,1
"mammals_dec_3_NB_SampleID_553",525370,7408750,2004,765.486273765564,0.858333421871068,185,0.2425,1,0,1,0,0,0,0,0,0,0
"mammals_dec_3_NB_SampleID_554",525370,7408750,2005,746.604307174683,1.85833331942558,189,-0.2675,1,0,1,0,1,0,1,0,1,1
"mammals_dec_3_NB_SampleID_555",525370,7408750,2006,503.12336730957,0.958333263794575,199,-0.2075,1,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_556",525370,7408750,2007,773.809322357177,1.23333336723348,180,0.173333333333333,1,0,1,0,0,0,1,1,1,1
"mammals_dec_3_NB_SampleID_557",463760,7409120,1998,893.546808242797,-1.23333341379961,209,-0.480833333333333,0,0,1,0,0,1,0,1,1,1
"mammals_dec_3_NB_SampleID_558",463760,7409120,1999,684.994459152222,0.100000028808911,202,0.390833333333333,0,0,1,0,0,0,1,1,0,1
"mammals_dec_3_NB_SampleID_559",463760,7409120,2000,840.693857192993,1.69166675209999,203,0.206666666666667,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_560",463760,7409120,2001,781.353786468506,0.0666666825612501,204,-0.1825,0,0,1,0,0,1,0,1,0,1
"mammals_dec_3_NB_SampleID_561",463760,7409120,2003,601.146713256836,0.866666611284014,207,0.0975,1,0,1,0,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_562",502260,7409170,1998,927.747117996217,-1.4833333293597,202,-0.480833333333333,0,0,1,0,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_563",502260,7409170,1999,685.538690567017,-0.00833329061667086,190,0.390833333333333,0,0,1,0,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_564",502260,7409170,2002,733.05996131897,-0.108333369096117,197,0.0391666666666667,1,0,1,1,0,0,0,0,0,1
"mammals_dec_3_NB_SampleID_565",502260,7409170,2003,594.067268371582,0.758333381265403,206,0.0975,1,0,1,1,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_566",502260,7409170,2004,823.152766227722,0.749999936670073,189,0.2425,1,0,1,1,0,0,0,0,1,1
"mammals_dec_3_NB_SampleID_567",502260,7409170,2005,762.500713348389,1.74999994784594,196,-0.2675,1,0,1,0,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_568",502260,7409170,2006,490.026987075805,0.891666551431022,203,-0.2075,1,0,1,1,0,1,0,1,1,1
"mammals_dec_3_NB_SampleID_569",502260,7409170,2007,770.73413848877,1.091666749989,190,0.173333333333333,0,0,1,0,0,0,0,0,0,0
"mammals_dec_3_NB_SampleID_570",512150,7410160,2003,587.241714477539,0.775000091642152,203,0.0975,1,0,1,0,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_571",512150,7410160,2004,810.86608505249,0.74166653181117,186,0.2425,1,0,1,1,1,1,0,1,1,1
"mammals_dec_3_NB_SampleID_572",512150,7410160,2005,751.152858734131,1.73333334426086,194,-0.2675,1,0,1,1,0,1,0,1,1,1
"mammals_dec_3_NB_SampleID_573",512150,7410160,2006,494.790037155151,0.866666545470555,203,-0.2075,1,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_574",512150,7410160,2007,779.3131275177,1.06666675396264,189,0.173333333333333,1,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_575",453790,7410430,1998,913.367816925049,-1.19999989370505,211,-0.480833333333333,0,0,1,1,0,0,0,1,1,0
"mammals_dec_3_NB_SampleID_576",453790,7410430,1999,704.989252090453,0.1333333303531,202,0.390833333333333,0,0,1,0,0,0,0,0,0,1
"mammals_dec_3_NB_SampleID_577",453790,7410430,2000,853.569362640381,1.65833336114882,204,0.206666666666667,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_578",453790,7410430,2001,808.683958053589,0.116666714350393,205,-0.1825,0,0,1,0,0,1,1,1,0,1
"mammals_dec_3_NB_SampleID_579",453790,7410430,2002,717.58278465271,0.0916666785875968,197,0.0391666666666667,0,0,1,0,0,0,1,0,1,1
"mammals_dec_3_NB_SampleID_580",453790,7410430,2003,594.710729598999,0.891666706651447,207,0.0975,1,0,1,1,0,0,0,0,0,1
"mammals_dec_3_NB_SampleID_581",453790,7410430,2004,777.043319702148,0.891666666915028,197,0.2425,1,0,1,0,0,0,1,0,1,1
"mammals_dec_3_NB_SampleID_582",453790,7410430,2005,807.88388633728,1.89166669050853,202,-0.2675,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_583",453790,7410430,2006,468.309103012085,1.12499998013179,204,-0.2075,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_584",542730,7410870,1998,909.508943557739,-1.60833338896433,203,-0.480833333333333,0,0,1,0,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_585",542730,7410870,1999,631.397964477539,-0.0249999016523356,184,0.390833333333333,1,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_586",542730,7410870,2000,816.8747215271,1.62500006581346,193,0.206666666666667,1,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_587",542730,7410870,2001,587.316045761108,-0.183333411812773,192,-0.1825,1,0,1,0,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_588",542730,7410870,2002,679.151494026184,-0.325000037749615,193,0.0391666666666667,1,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_589",542730,7410870,2003,539.19181060791,0.741666617492833,197,0.0975,1,0,1,0,0,0,1,1,1,1
"mammals_dec_3_NB_SampleID_590",542730,7410870,2004,726.779801368713,0.733333246161545,185,0.2425,1,0,1,0,0,1,0,1,1,1
"mammals_dec_3_NB_SampleID_591",542730,7410870,2005,737.895877838135,1.71666672267021,189,-0.2675,1,0,1,1,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_592",542730,7410870,2006,544.172163009644,0.816666722297662,203,-0.2075,1,0,1,0,0,1,0,1,0,0
"mammals_dec_3_NB_SampleID_593",542730,7410870,2007,819.609273910522,1.10833336909612,183,0.173333333333333,0,0,1,1,1,0,1,1,0,0
"mammals_dec_3_NB_SampleID_594",489820,7410890,1998,893.351217269897,-1.34999984006087,207,-0.480833333333333,1,0,1,1,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_595",489820,7410890,1999,661.175771713257,0.116666550437606,194,0.390833333333333,0,0,1,1,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_596",489820,7410890,2000,847.816747665405,1.73333345664045,203,0.206666666666667,1,0,1,1,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_597",489820,7410890,2004,826.900010108947,0.866666715592148,197,0.2425,1,0,1,0,0,0,0,0,1,1
"mammals_dec_3_NB_SampleID_598",489820,7410890,2006,474.930572509766,1.00833336512248,205,-0.2075,1,0,1,0,0,0,0,0,1,1
"mammals_dec_3_NB_SampleID_599",516700,7411760,1998,930.454595565796,-1.32500010728836,199,-0.480833333333333,1,0,1,0,0,0,0,0,0,1
"mammals_dec_3_NB_SampleID_600",516700,7411760,1999,654.171258926392,0.19999995330969,185,0.390833333333333,1,0,1,0,0,0,1,1,0,1
"mammals_dec_3_NB_SampleID_601",516700,7411760,2000,866.240829467773,1.83333334823449,198,0.206666666666667,1,0,1,0,0,0,0,0,0,1
"mammals_dec_3_NB_SampleID_602",516700,7411760,2001,671.269362449646,0.1000000834465,193,-0.1825,1,0,1,0,0,0,0,0,0,1
"mammals_dec_3_NB_SampleID_603",516700,7411760,2002,714.183351516724,-0.0249999960263567,193,0.0391666666666667,1,0,1,0,0,0,0,0,0,1
"mammals_dec_3_NB_SampleID_604",516700,7411760,2003,570.326458930969,0.966666584213579,199,0.0975,1,0,1,0,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_605",516700,7411760,2004,788.381772041321,0.958333430811771,186,0.2425,1,0,1,1,0,1,0,1,0,1
"mammals_dec_3_NB_SampleID_606",516700,7411760,2005,745.58332157135,1.96666677296162,190,-0.2675,1,0,1,0,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_607",516700,7411760,2006,478.918533325195,1.06666651368142,202,-0.2075,1,0,1,1,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_608",516700,7411760,2007,740.541744232178,1.31666657142341,178,0.173333333333333,1,0,1,1,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_609",568210,7413370,1998,1014.18282318115,-1.90000007053217,211,-0.480833333333333,0,0,1,0,0,0,0,1,0,1
