"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Capreolus capreolus","Gulo gulo","Lepus timidus","Lutra lutra","Lynx lynx","Mustela erminea","Mustela nivalis","Neovison vison","Nyctereutes procyonoides","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_4_NB_SampleID_33",560690,7269520,2017,766.66563796997,1.05833328763644,212,0.225833333333333,0,0,0,1,1,0,0,0,1,0,0,0,1
"mammals_dec_4_NB_SampleID_34",532590,7271550,2008,929.000015258789,1.78333337604999,190,-0.378333333333333,0,0,0,1,0,0,0,1,0,0,1,1,1
"mammals_dec_4_NB_SampleID_35",532590,7271550,2009,733.589260101317,1.12500007947287,211,-0.243333333333333,0,0,0,1,0,0,0,1,0,0,0,1,1
"mammals_dec_4_NB_SampleID_36",532590,7271550,2010,758.104852676392,-0.0499999920527192,196,-1.1525,0,0,0,1,0,0,0,0,0,0,1,1,1
"mammals_dec_4_NB_SampleID_37",532590,7271550,2011,1022.96181869507,2.39999993642172,162,0.293333333333333,1,0,0,1,1,0,0,1,0,0,1,1,1
"mammals_dec_4_NB_SampleID_38",532590,7271550,2012,937.649368286133,0.358333408832554,203,-0.455833333333333,0,0,0,1,0,0,0,1,0,0,1,1,1
"mammals_dec_4_NB_SampleID_39",532590,7271550,2013,879.322181701659,2.15833334128062,194,0.21,0,0,0,1,0,0,0,0,0,0,1,1,1
"mammals_dec_4_NB_SampleID_40",532590,7271550,2014,750.032064437866,2.34166669100522,195,0.186666666666667,0,0,0,1,0,0,0,0,0,0,1,1,1
"mammals_dec_4_NB_SampleID_41",532590,7271550,2015,1139.58170318604,2.84999995927016,183,0.433333333333333,0,0,0,1,0,0,0,0,0,0,1,1,1
"mammals_dec_4_NB_SampleID_42",550650,7271590,2008,978.868869781494,1.62500001986821,189,-0.378333333333333,1,0,0,1,0,0,0,1,0,0,1,1,1
"mammals_dec_4_NB_SampleID_43",550650,7271590,2009,707.261268615722,1.00833335518836,211,-0.243333333333333,1,0,0,1,0,0,0,0,0,0,0,1,1
"mammals_dec_4_NB_SampleID_44",550650,7271590,2010,792.871667861939,-0.175000111262014,195,-1.1525,1,0,0,1,0,0,0,0,0,0,0,0,1
"mammals_dec_4_NB_SampleID_45",550650,7271590,2011,1079.56129455566,2.2666666706403,158,0.293333333333333,1,0,1,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_46",550650,7271590,2012,969.388088226318,0.208333373069768,199,-0.455833333333333,0,0,0,1,1,0,0,1,0,0,1,0,1
"mammals_dec_4_NB_SampleID_47",550650,7271590,2013,875.204320907593,2.05833334227402,190,0.21,0,0,0,1,0,0,0,0,0,0,1,1,1
