"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Microtus agrestis","Microtus levis","Myodes glareolus","Myodes rutilus","Myopus schisticolor","Sorex araneus","Sorex minutus"
"smallrodents_dec_1_MB_SampleID_45",305000,7001000,1987,36.0999999046324,0.766666690508514,162,-0.1225,1,0,1,0,0,1,1
"smallrodents_dec_1_MB_SampleID_46",370000,7074000,1979,56.3000006973743,2.24166667709748,173,0.135,1,0,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_47",370000,7074000,1982,53.6999995708465,2.39166663090388,163,0.43,1,0,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_48",370000,7074000,1987,31.1000002026558,0.40000000099341,159,-0.1225,1,0,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_49",570000,7088000,1978,24.4999992251397,-0.258333350221308,171,0.3175,1,0,1,1,1,0,0
"smallrodents_dec_1_MB_SampleID_50",570000,7088000,1979,46.200002491474,1.41666681071122,200,0.135,0,0,1,0,0,0,0
"smallrodents_dec_1_MB_SampleID_51",570000,7088000,1980,38.6999989748001,0.574999978144961,187,-0.4125,1,0,1,1,0,0,0
"smallrodents_dec_1_MB_SampleID_52",570000,7088000,1981,40.599997997284,1.06666656335195,199,-0.2125,1,0,1,1,1,0,0
"smallrodents_dec_1_MB_SampleID_53",570000,7088000,1982,42.9999983608723,1.5249998793006,177,0.43,1,0,1,1,1,0,0
"smallrodents_dec_1_MB_SampleID_54",570000,7088000,1983,51.2000000476838,1.85833336909613,181,0.31,1,0,1,1,1,0,0
"smallrodents_dec_1_MB_SampleID_55",570000,7088000,1984,57.200001001358,2.4750000834465,166,0.2475,1,0,1,1,1,0,0
"smallrodents_dec_1_MB_SampleID_56",570000,7088000,1985,17.6000006198885,-0.808333297570532,199,-0.183333333333333,1,0,1,0,1,0,0
"smallrodents_dec_1_MB_SampleID_57",570000,7088000,1986,43.0000021755695,0.891666752596695,177,0.503333333333333,1,0,1,0,0,0,0
"smallrodents_dec_1_MB_SampleID_58",570000,7088000,1987,18.9000001847744,-0.591666651268796,181,-0.1225,1,0,1,1,0,0,0
"smallrodents_dec_1_MB_SampleID_59",659000,7107000,1978,15.599999383092,-0.850000067303574,212,0.3175,0,0,1,0,0,0,0
"smallrodents_dec_1_MB_SampleID_60",659000,7107000,1979,38.4000005722047,0.88333336512248,210,0.135,0,0,1,0,0,0,0
"smallrodents_dec_1_MB_SampleID_61",659000,7107000,1980,32.4000014662745,0.116666709383338,196,-0.4125,0,0,1,0,0,0,0
"smallrodents_dec_1_MB_SampleID_62",659000,7107000,1981,37.9000012874604,0.875000059604647,208,-0.2125,1,0,1,0,1,0,0
"smallrodents_dec_1_MB_SampleID_63",659000,7107000,1982,37.8999980688094,1.14999988675117,191,0.43,1,0,1,0,1,0,0
"smallrodents_dec_1_MB_SampleID_64",659000,7107000,1983,44.0999994277954,1.33333333333333,189,0.31,0,0,1,0,1,0,0
"smallrodents_dec_1_MB_SampleID_65",659000,7107000,1984,51.2999997138976,2.00833332538604,189,0.2475,1,0,1,0,0,0,0
"smallrodents_dec_1_MB_SampleID_66",659000,7107000,1985,10.2000014781953,-1.3416665593783,201,-0.183333333333333,1,0,1,0,0,0,0
"smallrodents_dec_1_MB_SampleID_67",659000,7107000,1986,37.0000012740493,0.466666725153729,178,0.503333333333333,1,0,1,0,0,0,0
"smallrodents_dec_1_MB_SampleID_68",659000,7107000,1987,13.0999981164932,-1.00000010927518,192,-0.1225,1,0,1,0,1,0,0
"smallrodents_dec_1_MB_SampleID_69",460000,7195000,1982,44.7000001892447,1.69166663475334,184,0.43,1,0,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_70",460000,7195000,1983,51.0999994277954,1.86666663487753,186,0.31,1,0,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_71",460000,7195000,1984,58.8999984264373,2.60833324988683,154,0.2475,1,0,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_72",460000,7195000,1985,23.0000016689301,-0.491666575272876,177,-0.183333333333333,1,0,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_73",460000,7195000,1987,21.4000013470651,-0.374999935428296,172,-0.1225,1,0,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_74",452000,7368000,1978,12.6999996602533,-1.13333337754012,204,0.3175,0,0,1,1,0,0,0
"smallrodents_dec_1_MB_SampleID_75",452000,7368000,1982,30.1999985426664,0.558333211888866,204,0.43,0,0,1,1,0,1,0
"smallrodents_dec_1_MB_SampleID_76",452000,7368000,1983,33.9999998807907,0.575000037749608,192,0.31,0,0,1,1,0,1,0
"smallrodents_dec_1_MB_SampleID_77",452000,7368000,1984,40.6999997198581,1.20833332588275,202,0.2475,0,0,1,0,0,1,0
"smallrodents_dec_1_MB_SampleID_78",452000,7368000,1987,11.3000004291535,-1.13333334525426,185,-0.1225,0,0,1,0,0,1,1
